Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	parent	flybase	flybase_revhits	flybase_name	gbue11	gbue11_revhits	orthodb	orthodb_revhits	ontology_term	FlyBase	FlyBase_2	FlyBase_3	FlyBase_4	FlyBase_Annotation_IDs	FlyBase_Annotation_IDs_2	FlyBase_Annotation_IDs_3	FlyBase_Annotation_IDs_4	FlyMine	FlyMine_2	GB_protein	GB_protein_2	GB_protein_3	GB_protein_4	GB_protein_5	GB_protein_6	GI	REFSEQ	REFSEQ_2	REFSEQ_3	UniProt/Swiss-Prot	UniProt/Swiss-Prot_2	UniProt/TrEMBL	UniProt/TrEMBL_2	modMine	modMine_2
gbman.GBUE000838-PA.1	915.015252864865	-4.05994142287135	0.952055645720928	-5.11431860649287	3.14875504312854e-07	0.00424168791859846	gbman.GBUE000838-PA.1.t1	gbman.GBUE000838-PA.1	FBgn0031957	gbgene2050.t1,gbgene2051.t1,gbgene2052.t1,gbgene2067.t1,gbgene13069.t1,gbgene15858.t1,gbgene15859.t1,gbgene16033.t1	TwdlE-PA	GBUE000838-PA	gbgene2067.t1,gbgene20223.t1	56086_0_000345	gbgene2067.t1,gbgene20223.t1	GO:0005214,GO:0031012,GO:0040003	FBpp0079185	NA	NA	NA	CG14534-PA	NA	NA	NA	FBpp0079185	NA	AAF52571.2	AAF52571	NA	NA	NA	NA	NA	NP_609157	NA	NA	NA	NA	Q8SZP2	NA	FBpp0079185	NA
gbgene9480	1457.18167630604	-4.02841358883411	0.95357279731124	-5.11271077333231	3.17568335380352e-07	0.00427796304590872	gbgene9480.t1	gbgene9480	NA	NA	NA	NA	NA	108931_0_001ea4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene4712	785.942065687507	-4.14159474943744	0.945489237789773	-5.08278760171213	3.71935532155993e-07	0.00501034355367338	gbgene4712.t1	gbgene4712	FBgn0032538	gbgene4712.t1,gbgene5757.t1,gbgene5758.t1,gbgene8521.t1,gbgene9359.t1,gbgene9512.t1,gbgene14565.t1	Vajk2-PA	GBUE017032-PA	NA	56086_0_004287	NA	GO:0005214,GO:0008061,GO:0040003,GO:0062129	FBpp0080135	NA	NA	NA	CG16885-PA	NA	NA	NA	FBpp0080135	NA	AAF53358.2	AAF53358	NA	NA	NA	NA	NA	NP_609689	NA	NA	NA	NA	Q8SZM2	NA	FBpp0080135	NA
gbgene2840	440.975242735816	-4.33846069273315	0.91276435273596	-5.07561761447961	3.86239352095051e-07	0.00520303031207244	gbgene2840.t1	gbgene2840	FBgn0041711	gbgene2840.t1,gbgene2841.t1	yellow-e-PA	GBUE014111-PA	gbgene2840.t1,gbgene2841.t1	56086_0_00371e	NA	GO:0005576	FBpp0082225	NA	NA	NA	CG9792-PA	NA	NA	NA	FBpp0082225	NA	AAF54948.1	AAF54948	NA	NA	NA	NA	NA	NP_524344	NA	NA	NA	NA	Q9VFV1	NA	FBpp0082225	NA
gbgene4691	290.74659102842	-4.13840085959341	0.948330438931751	-5.05552046577127	4.29218594493684e-07	0.00578200368642442	gbgene4691.t1	gbgene4691	NA	NA	NA	GBUE010265-PA	gbgene4688.t1,gbgene4689.t1,gbgene4689.t2,gbgene4691.t1	56086_0_002818	gbgene4688.t1,gbgene4689.t1,gbgene4689.t2,gbgene4691.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbman.GBUE001961-PA.1	5616.34911509673	-4.05064972901322	0.94995997492348	-5.05514494784922	4.30064012477028e-07	0.00579339231207804	gbman.GBUE001961-PA.1.t1	gbman.GBUE001961-PA.1	FBgn0035788	gbgene4708.t1,gbgene4711.t1	CG8541-PA	GBUE001961-PA	NA	56086_0_0007a8	NA	NA	FBpp0076572	NA	NA	NA	CG8541-PA	NA	NA	NA	FBpp0076572	NA	AAF50552.1	AAF50552	NA	NA	NA	NA	NA	NP_648127	NA	NA	NA	NA	Q9VS76	NA	FBpp0076572	NA
gbman.GBUE000613-PA.1	11612.3814614302	-4.24012444622674	0.924462188249212	-5.02401756791449	5.06016053921167e-07	0.00681654226237204	gbman.GBUE000613-PA.1.t1	gbman.GBUE000613-PA.1	FBgn0004778	gbgene4791.t1,gbgene11962.t1,gbgene11963.t1,gbgene11967.t1,gbgene18912.t1	Ccp84Af-PA	GBUE000613-PA	NA	56086_0_000264	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0081193	NA	NA	NA	CG1331-PA	NA	NA	NA	FBpp0081193	NA	AAF54095.1	AAF54095	NA	NA	NA	NA	NA	NP_649678	NA	NA	NA	NA	O97063	NA	FBpp0081193	NA
gbgene11592	1301.30391571589	2.32042309163521	0.462493286608952	5.01698258903659	5.24893224543301e-07	0.0070708366278228	gbgene11592.t1	gbgene11592	FBgn0265011	NA	Np-PB	GBUE009826-PA	NA	7029_0_002c3e	NA	GO:0004252,GO:0005615,GO:0006508,GO:0008236,GO:0016324,GO:0017171,GO:0035002	FBpp0300317	NA	NA	NA	CG34350-PB	NA	NA	NA	NA	NA	AFH07968	NA	NA	NA	NA	NA	NA	NP_001246213	NA	NA	NA	NA	A1Z7M3	NA	NA	NA
gbgene14914	36.3481070818882	2.97653895221461	0.590945529286848	4.99788164664735	5.79635409312971e-07	0.00780826859885504	gbgene14914.t1	gbgene14914	FBgn0030589	NA	CG9519-PA	GBUE014098-PA	gbgene14912.t1,gbgene14914.t1	56086_0_003711	gbgene14912.t1,gbgene14914.t1	GO:0016491,GO:0016614,GO:0045455,GO:0050660	FBpp0073801	NA	NA	NA	CG9519-PA	NA	NA	NA	FBpp0073801	NA	AAF48397.2	AAF48397	NA	NA	NA	NA	NA	NP_572978	NA	NA	NA	NA	Q9VY09	NA	FBpp0073801	NA
gbgene6556	276.704688600132	-3.99124773622068	0.806298033937006	-4.98640752957921	6.15123261304436e-07	0.00828632545303206	gbgene6556.t1	gbgene6556	FBgn0013812	gbgene6556.t1,gbgene6556.t2,gbgene7853.t1,gbgene19718.t1	Dhc93AB-PB	GBUE008127-PA	gbgene6556.t1,gbgene6556.t2,gbgene8113.t1	56086_0_004bba	gbgene6556.t1,gbgene6556.t2	GO:0003341,GO:0005524,GO:0005930,GO:0007018,GO:0007605,GO:0008569,GO:0030286,GO:0031514,GO:0036157,GO:0045505,GO:0051959	FBpp0271744	NA	NA	NA	CG3723-PB	NA	NA	NA	FBpp0271744	NA	AAF55834	NA	NA	NA	NA	NA	NA	NP_524424	NA	NA	NA	NA	Q9VDG0	NA	FBpp0271744	NA
gbgene6556	276.704688600132	-3.99124773622068	0.806298033937006	-4.98640752957921	6.15123261304436e-07	0.00828632545303206	gbgene6556.t2	gbgene6556	FBgn0013812	gbgene6556.t1,gbgene6556.t2,gbgene7853.t1,gbgene19718.t1	Dhc93AB-PB	GBUE008127-PA	gbgene6556.t1,gbgene6556.t2,gbgene8113.t1	56086_0_004bba	gbgene6556.t1,gbgene6556.t2	GO:0003341,GO:0005524,GO:0005930,GO:0007018,GO:0007605,GO:0008569,GO:0030286,GO:0031514,GO:0036157,GO:0045505,GO:0051959	FBpp0271744	NA	NA	NA	CG3723-PB	NA	NA	NA	FBpp0271744	NA	AAF55834	NA	NA	NA	NA	NA	NA	NP_524424	NA	NA	NA	NA	Q9VDG0	NA	FBpp0271744	NA
gbgene883	135.764437148795	3.09428117848639	0.619886170429192	4.9815493950296	6.30771784056506e-07	0.00849712670302519	gbgene883.t1	gbgene883	FBgn0086687	gbgene883.t1,gbgene1586.t1,gbgene1587.t1,gbgene1587.t2,gbgene1588.t1,gbgene1589.t1	Desat1-PD	GBUE014705-PA	NA	56086_0_003970	NA	GO:0004768,GO:0005506,GO:0005515,GO:0005783,GO:0005789,GO:0006636,GO:0006723,GO:0009744,GO:0010506,GO:0016021,GO:0019216,GO:0031410,GO:0040018,GO:0042593,GO:0042594,GO:0042811,GO:0045572,GO:0045793,GO:0048047,GO:0060179,GO:0070328	FBpp0082099	NA	NA	NA	CG5887-PD	NA	NA	NA	NA	NA	AAF54822.1	AAF54822	NA	NA	NA	NA	NA	NP_731711	NA	NA	NA	NA	Q7K4Y0	NA	NA	NA
gbgene10127	71.0677079923662	-3.76706560671461	0.75599509525362	-4.95441088320875	7.25497571021364e-07	0.00977317777922879	gbgene10127.t1	gbgene10127	NA	NA	NA	NA	NA	286706_0_001ed8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
