Genes	GO.ID_BP	Term_BP	Annotated_BP	Significant_BP	Expected_BP	Rank in classicFisher_BP	classicFisher_BP	elimFisher_BP	weight01Fisher_BP	parentchildFisher_BP	weightFisher_BP	leaFisher_BP
gbgene7486	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7487	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7491	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene752	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7558	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7560	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7581	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7638	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7699	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7705	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7723	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7757	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7793	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7817	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7828	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7830	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7835	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7864	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7868	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7872	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7882	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7902	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7917	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene7963	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8010	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8082	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8084	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene811	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8135	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8226	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8235	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8260	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8275	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene828	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8316	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8402	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8444	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8445	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8446	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene845	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene847	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8474	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene849	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8514	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8526	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8534	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8538	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8539	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8552	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8556	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8559	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8566	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8574	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8592	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8605	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8623	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8626	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8634	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene867	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8687	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8696	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8707	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8729	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8730	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8732	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8754	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene876	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8774	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8777	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8785	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8806	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8810	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene883	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8832	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8846	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8853	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8858	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8875	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8876	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8935	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8936	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8947	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8960	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8961	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8963	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8967	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8972	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8973	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene898	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene8985	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9003	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9009	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9041	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene908	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9104	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9108	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9124	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9127	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9145	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene916	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9168	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene917	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9180	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9253	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9256	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9273	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9274	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9279	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9284	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9285	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9286	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9287	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9340	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9345	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9361	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9385	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9396	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9400	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9404	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9449	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9464	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9470	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9494	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9500	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9558	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene958	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene960	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9605	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9611	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9639	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9665	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9670	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9673	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene969	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9698	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9699	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9700	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9702	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9703	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9704	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9705	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9706	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9708	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9710	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9713	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9715	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9716	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9717	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9720	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9722	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9723	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9724	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9725	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9726	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9727	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9728	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9729	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9731	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9742	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9745	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9746	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9747	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9750	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9751	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9754	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9755	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9757	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9758	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9759	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9760	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9761	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9762	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9764	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9766	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9769	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9770	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9772	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9777	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9786	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9799	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9821	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9837	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9839	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9873	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9884	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9895	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9947	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9952	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9986	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9995	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9996	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9998	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbgene9999	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000034-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000245-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000298-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000434-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000609-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000612-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000615-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000618-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000665-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000666-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000679-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000730-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000968-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE000977-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE001001-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE001426-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE001521-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE001716-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE001755-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE001842-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE001900-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE001901-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE002132-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE002182-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE002195-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE002433-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
gbman.GBUE002439-PA.1	GO:0032504	multicellular organism reproduction	1310	9	8.15	121	0.430	0.430	0.00043	0.9841	1.000	0.747
